trip_distance,duration_minutes,tolls_amount,passenger_count,actual_fare,predicted_fare,error,absolute_error,fare_band
1.98,22.833333333333332,0.0,1,14.5,14.81260628062978,-0.3126062806297796,0.3126062806297796,10-20
7.34,53.8,0.0,1,34.5,35.6800541633267,-1.1800541633267017,1.1800541633267017,20-40
7.69,38.43333333333333,0.0,1,29.0,30.242521080211198,-1.2425210802111977,1.2425210802111977,20-40
10.2,24.683333333333334,0.0,1,30.5,30.099493382222548,0.40050661777745233,0.40050661777745233,20-40
0.97,9.016666666666667,0.0,1,7.0,7.283531793463372,-0.2835317934633723,0.2835317934633723,0-10
3.9,18.183333333333334,0.0,5,15.5,15.623754191701115,-0.12375419170111535,0.12375419170111535,10-20
0.9,8.183333333333334,0.0,1,7.0,6.949203815753339,0.05079618424666066,0.05079618424666066,0-10
1.19,4.2,0.0,1,5.5,5.770224224211628,-0.27022422421162773,0.27022422421162773,0-10
5.03,33.483333333333334,0.0,6,23.0,23.50362999667522,-0.5036299966752189,0.5036299966752189,20-40
1.1,12.533333333333333,0.0,1,9.0,9.03603005141382,-0.03603005141381921,0.03603005141381921,0-10
1.6,9.966666666666667,0.0,1,8.5,8.451389874724267,0.04861012527573294,0.04861012527573294,0-10
1.21,18.85,0.0,1,12.0,12.115317355763011,-0.11531735576301116,0.11531735576301116,10-20
2.73,16.716666666666665,0.0,1,13.0,12.947479629618737,0.05252037038126289,0.05252037038126289,10-20
0.9,14.5,0.0,1,9.5,9.627313636997696,-0.12731363699769638,0.12731363699769638,0-10
2.61,12.8,0.0,1,11.0,11.271148340645926,-0.27114834064592586,0.27114834064592586,10-20
1.0,10.583333333333334,0.0,2,8.5,8.082060814932477,0.4179391850675227,0.4179391850675227,0-10
1.09,8.85,0.0,1,7.5,7.35223469381541,0.14776530618459027,0.14776530618459027,0-10
0.43,6.316666666666666,0.0,2,5.5,5.608092099135709,-0.10809209913570861,0.10809209913570861,0-10
2.6,11.833333333333334,0.0,1,11.5,10.809460437602686,0.6905395623973138,0.6905395623973138,10-20
0.79,5.983333333333333,0.0,1,6.0,5.765580232313244,0.23441976768675588,0.23441976768675588,0-10
4.9,10.3,0.0,3,15.0,15.724260039435176,-0.7242600394351761,0.7242600394351761,10-20
7.3,34.516666666666666,0.0,2,27.5,27.175180492898974,0.3248195071010258,0.3248195071010258,20-40
2.4,15.0,0.0,1,12.5,11.77143958051011,0.7285604194898898,0.7285604194898898,10-20
0.8,8.75,0.0,1,7.0,7.001102425230528,-0.001102425230527615,0.001102425230527615,0-10
2.62,10.033333333333333,0.0,1,10.0,10.360356689844327,-0.3603566898443269,0.3603566898443269,0-10
1.36,6.166666666666667,0.0,1,6.5,6.771957056044778,-0.27195705604477816,0.27195705604477816,0-10
0.4,4.6,0.0,1,4.5,4.693241652112546,-0.19324165211254574,0.19324165211254574,0-10
1.1,7.066666666666666,0.0,1,7.0,6.62492333995814,0.37507666004186024,0.37507666004186024,0-10
1.1,10.216666666666667,0.0,1,8.0,7.993997827208974,0.006002172791026439,0.006002172791026439,0-10
1.07,7.466666666666667,0.0,2,7.0,6.752138321106446,0.24786167889355415,0.24786167889355415,0-10
0.31,2.0,0.0,1,3.5,3.486632808248051,0.013367191751949115,0.013367191751949115,0-10
17.1,57.68333333333333,5.76,1,52.0,51.942411561729244,0.05758843827075566,0.05758843827075566,40-60
6.0,18.35,0.0,1,19.5,19.87115836937836,-0.3711583693783602,0.3711583693783602,10-20
0.91,5.033333333333333,0.0,3,5.5,5.509812274916608,-0.009812274916607855,0.009812274916607855,0-10
2.6,10.933333333333334,0.0,1,10.5,10.61693783458141,-0.11693783458141027,0.11693783458141027,10-20
1.2,4.266666666666667,0.0,2,6.0,5.812619684481784,0.1873803155182161,0.1873803155182161,0-10
5.67,18.416666666666668,0.0,2,19.5,18.969707703157802,0.5302922968421981,0.5302922968421981,10-20
2.13,12.416666666666666,0.0,1,9.0,10.441259806156648,-1.4412598061566477,1.4412598061566477,0-10
4.03,14.6,0.0,2,15.5,14.579519064578296,0.9204809354217041,0.9204809354217041,10-20
1.0,3.816666666666667,0.0,1,5.0,5.218934951512583,-0.21893495151258335,0.21893495151258335,0-10
0.6,1.3166666666666667,0.0,1,4.0,3.9044738737552183,0.09552612624478174,0.09552612624478174,0-10
4.5,20.45,0.0,1,16.5,17.444284209879154,-0.9442842098791537,0.9442842098791537,10-20
3.54,16.0,0.0,1,14.5,14.110152951195554,0.3898470488044463,0.3898470488044463,10-20
6.62,28.133333333333333,0.0,1,24.0,23.906334270787887,0.09366572921211258,0.09366572921211258,20-40
9.37,21.533333333333335,0.0,1,28.0,28.209642975966922,-0.20964297596692205,0.20964297596692205,20-40
0.87,22.75,0.0,2,14.0,14.285452195797394,-0.28545219579739367,0.28545219579739367,10-20
0.6,3.3833333333333333,0.0,1,4.5,4.493899857067008,0.006100142932991659,0.006100142932991659,0-10
1.02,6.433333333333334,0.0,6,6.5,6.183166762552203,0.31683323744779734,0.31683323744779734,0-10
0.78,6.283333333333333,0.0,1,6.0,5.887533339754889,0.11246666024511143,0.11246666024511143,0-10
1.62,10.05,0.0,1,8.5,8.522951148935693,-0.022951148935693055,0.022951148935693055,0-10
6.98,32.083333333333336,0.0,5,27.0,26.13768540394529,0.8623145960547092,0.8623145960547092,20-40
8.9,36.333333333333336,0.0,1,31.0,31.91464521465396,-0.9146452146539588,0.9146452146539588,20-40
2.35,13.933333333333334,0.0,6,11.5,11.378035293443089,0.12196470655691094,0.12196470655691094,10-20
8.6,14.883333333333333,5.54,1,24.5,25.29830471213841,-0.7983047121384104,0.7983047121384104,20-40
3.52,38.75,0.0,5,24.0,23.64416906467338,0.3558309353266189,0.3558309353266189,20-40
1.53,15.116666666666667,0.0,1,10.5,10.76107212020946,-0.2610721202094606,0.2610721202094606,10-20
1.55,8.4,0.0,5,7.5,7.928329043365297,-0.42832904336529687,0.42832904336529687,0-10
8.1,47.1,0.0,4,35.0,33.69549359898987,1.30450640101013,1.30450640101013,20-40
1.0,2.9833333333333334,0.0,1,5.0,4.94501904990036,0.054980950099640324,0.054980950099640324,0-10
7.03,25.433333333333334,0.0,1,25.0,24.375085397686558,0.6249146023134422,0.6249146023134422,20-40
1.6,12.133333333333333,0.0,1,9.0,9.36729871158287,-0.36729871158287075,0.36729871158287075,0-10
2.05,15.283333333333333,0.0,1,11.0,11.330451260245551,-0.3304512602455514,0.3304512602455514,10-20
1.98,6.866666666666666,0.0,5,7.5,8.062898951431873,-0.5628989514318725,0.5628989514318725,0-10
1.06,6.683333333333334,0.0,1,6.0,6.509206833036582,-0.5092068330365818,0.5092068330365818,0-10
1.24,7.066666666666666,0.0,5,7.0,6.817234486585828,0.18276551341417235,0.18276551341417235,0-10
9.3,30.016666666666666,0.0,1,30.5,30.43352575778411,0.06647424221588949,0.06647424221588949,20-40
1.61,7.05,0.0,5,7.5,7.448635047462343,0.05136495253765716,0.05136495253765716,0-10
2.22,21.666666666666668,0.0,1,15.0,14.483879037569626,0.5161209624303744,0.5161209624303744,10-20
3.5,29.483333333333334,0.0,3,19.5,19.53569627110611,-0.03569627110611151,0.03569627110611151,10-20
4.7,27.833333333333332,0.0,1,20.5,20.758349248573747,-0.2583492485737473,0.2583492485737473,20-40
3.0,32.0,0.0,1,19.5,19.87043309326636,-0.3704330932663602,0.3704330932663602,10-20
0.91,5.366666666666666,0.0,5,6.0,5.695531616557842,0.304468383442158,0.304468383442158,0-10
1.76,16.483333333333334,0.0,1,12.0,11.576461734230326,0.42353826576967357,0.42353826576967357,10-20
4.2,29.9,0.0,1,21.0,20.62123559492114,0.37876440507886144,0.37876440507886144,20-40
0.67,3.65,0.0,1,4.5,4.603222802133439,-0.10322280213343937,0.10322280213343937,0-10
1.0,7.75,0.0,1,7.0,6.805108127173403,0.19489187282659692,0.19489187282659692,0-10
1.2,6.95,0.0,1,7.0,6.693675707929395,0.3063242920706051,0.3063242920706051,0-10
0.91,9.516666666666667,0.0,1,7.5,7.461289671240172,0.03871032875982827,0.03871032875982827,0-10
2.8,10.633333333333333,0.0,1,11.0,10.90714725138332,0.09285274861668036,0.09285274861668036,10-20
1.07,14.35,0.0,1,10.0,9.877996622439158,0.12200337756084245,0.12200337756084245,0-10
7.4,34.38333333333333,0.0,1,29.0,27.28577431962784,1.7142256803721594,1.7142256803721594,20-40
0.62,9.233333333333333,0.0,1,7.0,7.171050124974803,-0.1710501249748031,0.1710501249748031,0-10
3.51,14.016666666666667,0.0,4,12.5,13.486777730221423,-0.9867777302214229,0.9867777302214229,10-20
3.8,15.5,0.0,1,15.0,14.583354909474036,0.41664509052596443,0.41664509052596443,10-20
2.3,41.3,0.0,1,23.5,23.658972366909612,-0.15897236690961236,0.15897236690961236,20-40
9.4,13.35,5.76,1,26.0,34.76897084097688,-8.768970840976877,8.768970840976877,20-40
2.26,16.033333333333335,0.0,5,12.5,11.977343554911398,0.522656445088602,0.522656445088602,10-20
1.18,13.433333333333334,0.0,2,9.5,9.519444899645654,-0.01944489964565399,0.01944489964565399,0-10
1.76,8.716666666666667,0.0,2,8.5,8.273995958152103,0.22600404184789724,0.22600404184789724,0-10
0.7,5.5,0.0,1,5.5,5.491474755699649,0.008525244300351176,0.008525244300351176,0-10
1.4,17.933333333333334,0.0,2,12.0,11.721798372966928,0.27820162703307183,0.27820162703307183,10-20
1.2,9.3,0.0,5,7.5,7.606967004377405,-0.10696700437740514,0.10696700437740514,0-10
9.5,47.233333333333334,5.76,1,36.5,36.64087188988663,-0.14087188988663257,0.14087188988663257,20-40
1.6,14.1,0.0,1,10.5,10.290823051943331,0.20917694805666898,0.20917694805666898,10-20
5.6,23.533333333333335,0.0,1,22.0,20.729682828865727,1.2703171711342733,1.2703171711342733,20-40
5.9,26.75,0.0,2,22.5,22.663151977997362,-0.16315197799736225,0.16315197799736225,20-40
19.3,52.68333333333333,5.76,1,52.0,52.04016512666352,-0.040165126663517015,0.040165126663517015,40-60
0.8,10.433333333333334,0.0,1,7.5,7.802409891468131,-0.30240989146813124,0.30240989146813124,0-10
2.0,18.7,0.0,1,13.0,12.882541506593661,0.11745849340633896,0.11745849340633896,10-20
1.92,9.366666666666667,0.0,6,8.5,8.82225421480621,-0.3222542148062093,0.3222542148062093,0-10
6.1,38.81666666666667,0.0,1,28.0,27.562990941401967,0.43700905859803285,0.43700905859803285,20-40
1.27,9.416666666666666,0.0,3,7.5,7.794319928580792,-0.2943199285807916,0.2943199285807916,0-10
1.9,7.45,0.0,1,8.0,8.318677666294722,-0.3186776662947217,0.3186776662947217,0-10
22.4,50.583333333333336,5.54,1,52.0,52.0947851280618,-0.09478512806180106,0.09478512806180106,40-60
1.5,5.783333333333333,0.0,1,6.5,6.779607042103279,-0.2796070421032786,0.2796070421032786,0-10
4.2,21.333333333333332,0.0,1,17.0,17.16874305337018,-0.1687430533701786,0.1687430533701786,10-20
0.5,2.2333333333333334,0.0,4,4.0,3.8746140319307143,0.1253859680692857,0.1253859680692857,0-10
1.11,6.933333333333334,0.0,1,6.5,6.563999957182465,-0.06399995718246476,0.06399995718246476,0-10
0.8,4.25,0.0,1,5.0,5.079491113356021,-0.07949111335602144,0.07949111335602144,0-10
5.5,22.15,0.0,1,19.5,20.0716181176434,-0.5716181176433999,0.5716181176433999,10-20
0.67,4.966666666666667,0.0,2,5.0,5.213487732123809,-0.21348773212380934,0.21348773212380934,0-10
2.0,7.65,0.0,1,8.5,8.425650060926188,0.07434993907381227,0.07434993907381227,0-10
2.1,12.033333333333333,0.0,1,10.5,10.135711501811604,0.3642884981883956,0.3642884981883956,10-20
0.8,2.55,0.0,1,4.5,4.556781286583945,-0.05678128658394499,0.05678128658394499,0-10
1.57,12.666666666666666,0.0,5,10.0,9.636468937540368,0.3635310624596322,0.3635310624596322,0-10
0.9,6.3,0.0,4,6.0,6.000605277305846,-0.0006052773058460303,0.0006052773058460303,0-10
1.2,7.666666666666667,0.0,1,7.0,7.101325604575978,-0.10132560457597783,0.10132560457597783,0-10
0.55,3.0833333333333335,0.0,1,4.0,4.323302815448512,-0.32330281544851225,0.32330281544851225,0-10
5.1,13.883333333333333,0.0,1,17.0,16.799619537282894,0.2003804627171064,0.2003804627171064,10-20
1.6,6.4,0.0,1,7.5,7.168148233430273,0.33185176656972715,0.33185176656972715,0-10
1.5,8.733333333333333,0.0,2,8.0,7.9399730244660205,0.06002697553397951,0.06002697553397951,0-10
1.2,26.55,0.0,2,16.0,16.23061385567489,-0.23061385567488912,0.23061385567488912,10-20
3.3,29.5,0.0,1,19.0,18.930762139235352,0.06923786076464822,0.06923786076464822,10-20
0.91,7.716666666666667,0.0,2,7.0,6.623917482985227,0.3760825170147726,0.3760825170147726,0-10
1.1,12.616666666666667,0.0,1,9.0,9.069479103761818,-0.0694791037618181,0.0694791037618181,0-10
1.0,9.85,0.0,1,8.0,7.734290672525414,0.2657093274745863,0.2657093274745863,0-10
1.5,8.133333333333333,0.0,1,8.0,7.632322086712188,0.3676779132878121,0.3676779132878121,0-10
1.8,5.85,0.0,1,7.5,7.249580381404439,0.2504196185955614,0.2504196185955614,0-10
3.6,14.766666666666667,0.0,1,13.5,13.948799143005639,-0.4487991430056386,0.4487991430056386,10-20
7.62,15.466666666666667,0.0,1,22.5,22.45903344414694,0.04096655585306053,0.04096655585306053,20-40
8.3,19.416666666666668,5.76,1,25.5,37.08321177784689,-11.583211777846891,11.583211777846891,20-40
1.3,7.5,0.0,1,7.0,7.055733914167068,-0.0557339141670683,0.0557339141670683,0-10
1.25,8.233333333333333,0.0,6,7.5,7.344131575429789,0.15586842457021088,0.15586842457021088,0-10
3.14,7.983333333333333,0.0,5,11.0,10.793624110766954,0.20637588923304584,0.20637588923304584,10-20
1.64,5.35,0.0,1,6.5,6.913834599117487,-0.41383459911748677,0.41383459911748677,0-10
1.0,5.283333333333333,0.0,2,6.0,5.836640924720708,0.16335907527929194,0.16335907527929194,0-10
3.14,14.05,0.0,1,13.0,12.671336138615361,0.3286638613846389,0.3286638613846389,10-20
1.7,13.733333333333333,0.0,1,10.5,10.20088013185741,0.29911986814258995,0.29911986814258995,10-20
0.6,3.683333333333333,0.0,2,4.5,4.545037604268782,-0.04503760426878234,0.04503760426878234,0-10
1.9,17.05,0.0,1,12.0,11.948297212723634,0.05170278727636557,0.05170278727636557,10-20
3.0,22.983333333333334,0.0,1,15.5,15.9654214440239,-0.4654214440238995,0.4654214440238995,10-20
10.72,30.833333333333332,0.0,1,33.5,33.892192608551944,-0.3921926085519445,0.3921926085519445,20-40
0.7,3.95,0.0,1,5.0,4.795599618820932,0.20440038117906756,0.20440038117906756,0-10
3.1,15.533333333333333,0.0,2,13.0,13.314396756742976,-0.3143967567429762,0.3143967567429762,10-20
0.93,4.066666666666666,0.0,1,5.0,5.2257139412262505,-0.22571394122625055,0.22571394122625055,0-10
0.4,3.2666666666666666,0.0,1,4.0,4.092387255321725,-0.09238725532172509,0.09238725532172509,0-10
3.2,20.066666666666666,0.0,4,14.5,15.160342338777903,-0.6603423387779035,0.6603423387779035,10-20
1.3,6.4,0.0,1,6.5,6.672804354385716,-0.17280435438571562,0.17280435438571562,0-10
1.38,21.5,0.0,2,13.0,13.577443529170425,-0.5774435291704254,0.5774435291704254,10-20
0.92,6.133333333333334,0.0,1,5.5,5.964547417424425,-0.4645474174244253,0.4645474174244253,0-10
2.32,13.233333333333333,0.0,2,11.0,11.018097830519224,-0.01809783051922409,0.01809783051922409,10-20
17.12,43.95,0.0,1,52.0,51.930293655074145,0.06970634492585503,0.06970634492585503,40-60
2.39,10.866666666666667,0.0,5,10.5,10.135819776754763,0.3641802232452367,0.3641802232452367,10-20
1.4,9.766666666666667,0.0,1,8.5,8.192973654799918,0.3070263452000823,0.3070263452000823,0-10
0.4,3.966666666666667,0.0,1,4.5,4.474759947927535,0.025240052072464714,0.025240052072464714,0-10
1.4,9.7,0.0,1,8.5,8.190063594534312,0.3099364054656881,0.3099364054656881,0-10
1.92,12.25,0.0,2,10.0,9.988075808307883,0.011924191692116892,0.011924191692116892,0-10
1.1,6.25,0.0,3,6.5,6.361521296647593,0.13847870335240664,0.13847870335240664,0-10
0.75,10.283333333333333,0.0,6,7.5,7.75309601764702,-0.25309601764702006,0.25309601764702006,0-10
0.4,2.4833333333333334,0.0,1,4.0,3.9415343376334913,0.05846566236650874,0.05846566236650874,0-10
0.4,3.75,0.0,1,4.5,4.419511144887693,0.08048885511230708,0.08048885511230708,0-10
1.06,7.983333333333333,0.0,1,7.0,6.940565079846476,0.059434920153523585,0.059434920153523585,0-10
2.58,13.1,0.0,2,11.5,11.400557674767304,0.0994423252326957,0.0994423252326957,10-20
0.6,3.966666666666667,0.0,1,4.5,4.699618920757068,-0.199618920757068,0.199618920757068,0-10
1.62,3.8333333333333335,0.0,1,6.5,6.428272737601702,0.07172726239829785,0.07172726239829785,0-10
7.28,19.35,0.0,1,22.0,22.924064038366065,-0.9240640383660654,0.9240640383660654,20-40
0.67,2.6166666666666667,0.0,1,4.0,4.355254273140617,-0.3552542731406172,0.3552542731406172,0-10
20.11,40.233333333333334,5.76,2,52.0,52.41369078123823,-0.41369078123823044,0.41369078123823044,40-60
2.8,21.016666666666666,0.0,1,14.5,14.36983831003461,0.1301616899653908,0.1301616899653908,10-20
1.1,14.25,0.0,1,10.0,9.901253969129996,0.09874603087000366,0.09874603087000366,0-10
2.13,8.8,0.0,2,9.0,8.943706941408706,0.05629305859129374,0.05629305859129374,0-10
0.8,6.75,0.0,1,6.0,6.122624828796096,-0.12262482879609582,0.12262482879609582,0-10
4.77,29.783333333333335,0.0,1,23.0,21.65574560946688,1.34425439053312,1.34425439053312,20-40
2.9,10.716666666666667,0.0,3,11.5,11.219282399367108,0.280717600632892,0.280717600632892,10-20
1.81,10.133333333333333,0.0,1,9.0,8.982479183691144,0.01752081630885627,0.01752081630885627,0-10
9.8,36.43333333333333,0.0,1,31.5,33.494581971264616,-1.9945819712646156,1.9945819712646156,20-40
2.3,10.0,0.0,1,9.5,9.749253519962785,-0.24925351996278522,0.24925351996278522,0-10
1.1,12.166666666666666,0.0,1,9.0,8.771794057157111,0.2282059428428891,0.2282059428428891,0-10
2.09,12.566666666666666,0.0,1,10.5,10.441521946384254,0.05847805361574565,0.05847805361574565,10-20
1.06,9.866666666666667,0.0,2,7.5,7.767197911379093,-0.26719791137909343,0.26719791137909343,0-10
2.3,9.633333333333333,0.0,1,9.5,9.656444319210117,-0.1564443192101166,0.1564443192101166,0-10
0.3,2.6166666666666667,0.0,2,3.5,3.649552351720684,-0.14955235172068404,0.14955235172068404,0-10
1.1,6.066666666666666,0.0,1,6.5,6.305245531139123,0.19475446886087688,0.19475446886087688,0-10
2.05,17.483333333333334,0.0,1,13.0,12.275848489804469,0.7241515101955311,0.7241515101955311,10-20
1.7,8.3,0.0,2,8.0,8.032001933884697,-0.032001933884696854,0.032001933884696854,0-10
4.27,30.466666666666665,5.54,6,20.5,38.55635732309702,-18.056357323097018,18.056357323097018,20-40
12.02,26.55,5.54,1,36.0,35.188686587205396,0.811313412794604,0.811313412794604,20-40
1.82,14.2,0.0,6,11.0,10.533622056842528,0.4663779431574717,0.4663779431574717,10-20
0.82,4.133333333333334,0.0,1,5.0,5.067466448210354,-0.06746644821035375,0.06746644821035375,0-10
3.1,9.383333333333333,0.0,1,11.0,11.243856414549857,-0.24385641454985674,0.24385641454985674,10-20
2.34,15.7,0.0,1,12.0,11.93018015947507,0.0698198405249304,0.0698198405249304,10-20
1.2,12.433333333333334,0.0,2,9.5,9.108902116835763,0.3910978831642371,0.3910978831642371,0-10
2.7,21.166666666666668,0.0,0,14.5,14.947644619257455,-0.4476446192574546,0.4476446192574546,10-20
1.1,5.316666666666666,0.0,1,6.0,5.969180108411375,0.030819891588625303,0.030819891588625303,0-10
9.4,24.683333333333334,0.0,1,29.5,28.446193504423093,1.0538064955769073,1.0538064955769073,20-40
1.52,10.166666666666666,0.0,1,8.5,8.52693528736474,-0.026935287364739935,0.026935287364739935,0-10
0.7,5.6,0.0,1,5.5,5.538130416676665,-0.03813041667666539,0.03813041667666539,0-10
5.4,15.483333333333333,0.0,1,18.5,17.95124969905954,0.5487503009404584,0.5487503009404584,10-20
0.9,4.916666666666667,0.0,2,5.5,5.467204466824422,0.032795533175577596,0.032795533175577596,0-10
2.8,16.45,0.0,2,13.0,12.950592399870894,0.049407600129105944,0.049407600129105944,10-20
1.5,9.266666666666667,0.0,1,8.0,8.128709301147682,-0.12870930114768164,0.12870930114768164,0-10
1.6,8.783333333333333,0.0,1,8.5,8.08473186789856,0.4152681321014402,0.4152681321014402,0-10
1.0,11.666666666666666,0.0,2,8.5,8.485358823054312,0.014641176945687562,0.014641176945687562,0-10
1.2,12.25,0.0,1,9.0,9.031724324295258,-0.031724324295257844,0.031724324295257844,0-10
1.52,5.766666666666667,0.0,1,7.0,6.815566176417225,0.18443382358277471,0.18443382358277471,0-10
6.73,10.883333333333333,0.0,1,19.5,20.033508790971833,-0.5335087909718332,0.5335087909718332,10-20
2.02,9.016666666666667,0.0,1,8.5,8.813671078769746,-0.31367107876974565,0.31367107876974565,0-10
0.93,5.666666666666667,0.0,1,6.0,5.8606549615082715,0.13934503849172852,0.13934503849172852,0-10
2.8,23.483333333333334,0.0,3,16.0,16.059626510038097,-0.059626510038096825,0.059626510038096825,10-20
2.67,22.5,0.0,5,13.5,15.42579749324496,-1.9257974932449606,1.9257974932449606,10-20
1.4,9.166666666666666,0.0,4,8.0,7.874008368552898,0.12599163144710168,0.12599163144710168,0-10
1.9,17.183333333333334,0.0,1,12.0,11.946898611325034,0.05310138867496583,0.05310138867496583,10-20
1.25,5.683333333333334,0.0,1,6.0,6.313677422891049,-0.3136774228910486,0.3136774228910486,0-10
12.4,43.983333333333334,0.0,1,37.0,40.55175977842945,-3.5517597784294495,3.5517597784294495,20-40
1.1,8.95,0.0,3,7.5,7.485866091573994,0.014133908426005704,0.014133908426005704,0-10
7.43,28.533333333333335,0.0,1,26.5,26.062383573207477,0.4376164267925233,0.4376164267925233,20-40
7.73,18.55,0.0,1,24.0,23.782305507589538,0.21769449241046246,0.21769449241046246,20-40
1.54,7.766666666666667,0.0,2,7.5,7.624356071323601,-0.12435607132360094,0.12435607132360094,0-10
1.5,6.816666666666666,0.0,1,7.5,7.169082990886743,0.33091700911325717,0.33091700911325717,0-10
0.84,6.666666666666667,0.0,2,6.0,6.186978236889738,-0.18697823688973791,0.18697823688973791,0-10
3.3,30.266666666666666,0.0,1,19.5,18.960260262830598,0.5397397371694019,0.5397397371694019,10-20
2.2,15.15,0.0,1,11.5,11.427274957317097,0.0727250426829027,0.0727250426829027,10-20
5.13,39.4,0.0,6,25.5,26.20056531425121,-0.7005653142512109,0.7005653142512109,20-40
0.99,9.083333333333334,0.0,1,7.5,7.36015811777073,0.13984188222926974,0.13984188222926974,0-10
0.7,7.666666666666667,0.0,1,6.5,6.438811049169737,0.06118895083026299,0.06118895083026299,0-10
1.9,7.966666666666667,0.0,1,8.5,8.39884594591995,0.10115405408004996,0.10115405408004996,0-10
2.8,28.683333333333334,0.0,6,18.5,18.45989909245108,0.040100907548918485,0.040100907548918485,10-20
2.1,14.666666666666666,0.0,0,11.5,11.166246681370517,0.33375331862948343,0.33375331862948343,10-20
0.6,4.65,0.0,5,5.0,4.9983281948116325,0.0016718051883675145,0.0016718051883675145,0-10
2.8,33.016666666666666,0.0,1,20.0,20.278809141306574,-0.2788091413065743,0.2788091413065743,10-20
1.2,7.25,0.0,1,7.0,6.886385673579766,0.11361432642023406,0.11361432642023406,0-10
0.98,11.4,0.0,1,8.5,8.449410780539681,0.0505892194603188,0.0505892194603188,0-10
0.97,6.933333333333334,0.0,1,6.5,6.355053343682346,0.14494665631765358,0.14494665631765358,0-10
1.1,14.433333333333334,0.0,1,9.5,9.94524900544715,-0.44524900544715074,0.44524900544715074,0-10
0.4,4.066666666666666,0.0,1,4.5,4.486052354675166,0.01394764532483439,0.01394764532483439,0-10
1.03,22.1,0.0,5,13.5,13.76719698034223,-0.2671969803422307,0.2671969803422307,10-20
1.38,7.283333333333333,0.0,3,7.0,7.221861938345604,-0.22186193834560441,0.22186193834560441,0-10
10.79,34.68333333333333,5.76,3,32.5,34.14218165664052,-1.642181656640517,1.642181656640517,20-40
3.63,26.533333333333335,0.0,1,18.0,18.284882501500892,-0.284882501500892,0.284882501500892,10-20
3.09,13.15,0.0,1,12.5,12.422244474128622,0.07775552587137824,0.07775552587137824,10-20
2.0,11.833333333333334,0.0,1,10.0,9.96615370747713,0.033846292522870414,0.033846292522870414,0-10
2.1,7.933333333333334,0.0,1,9.0,8.639231541052654,0.3607684589473461,0.3607684589473461,0-10
2.6,7.95,0.0,2,10.0,9.66429202709987,0.33570797290012955,0.33570797290012955,0-10
4.9,15.083333333333334,0.0,1,17.0,17.075316219582447,-0.07531621958244727,0.07531621958244727,10-20
1.34,8.816666666666666,0.0,1,7.5,7.696567858697542,-0.19656785869754234,0.19656785869754234,0-10
1.9,15.1,0.0,1,11.5,11.064466833617605,0.43553316638239536,0.43553316638239536,10-20
3.01,14.766666666666667,0.0,2,13.5,12.494965073081227,1.005034926918773,1.005034926918773,10-20
2.06,10.666666666666666,0.0,2,9.5,9.595620021797174,-0.0956200217971741,0.0956200217971741,0-10
